"pop2023","pop2022","city","country","growthRate","type","rank"
4588666,4457882,"Kabul","Afghanistan",0.0293,"w",92
2901810,2853959,"Algiers","Algeria",0.0168,"w",173
935947,922302,"Oran","Algeria",0.0148,"w",635
9292336,8952496,"Luanda","Angola",0.038,"w",40
958548,914456,"Lubango","Angola",0.0482,"w",611
904676,861878,"Cabinda","Angola",0.0497,"w",656
809468,776832,"Benguela","Angola",0.042,"w",723
783243,743760,"Malanje","Angola",0.0531,"w",747
15490415,15369919,"Buenos Aires","Argentina",0.0078,"w",16
1611651,1597844,"Cordoba","Argentina",0.0086,"w",331
1594096,1574235,"Rosario","Argentina",0.0126,"w",332
1226427,1209458,"Mendoza","Argentina",0.014,"w",461
1026767,1013645,"San Miguel de Tucuman","Argentina",0.0129,"w",566
914036,904170,"La Plata","Argentina",0.0109,"w",648
1094813,1092028,"Yerevan","Armenia",0.0026,"w",523
5235407,5150766,"Melbourne","Australia",0.0164,"w",81
5120894,5056571,"Sydney","Australia",0.0127,"w",82
2504505,2472222,"Brisbane","Australia",0.0131,"w",202
2117997,2092649,"Perth","Australia",0.0121,"w",244
1366783,1355522,"Adelaide","Australia",0.0083,"w",399
1975271,1960023,"Vienna","Austria",0.0078,"w",263
2432304,2401108,"Baku","Azerbaijan",0.013,"w",207
23209616,22478116,"Dhaka","Bangladesh",0.0325,"w",4
5379660,5252842,"Chittagong","Bangladesh",0.0241,"w",78
964291,927856,"Sylhet","Bangladesh",0.0393,"w",605
961991,942126,"Rajshahi","Bangladesh",0.0211,"w",608
955104,949659,"Khulna","Bangladesh",0.0057,"w",618
905814,864183,"Bogra","Bangladesh",0.0482,"w",655
2057257,2048574,"Minsk","Belarus",0.0042,"w",252
2121992,2109631,"Brussels","Belgium",0.0059,"w",243
1057215,1052622,"Antwerp","Belgium",0.0044,"w",550
1252890,1188736,"Abomey-Calavi","Benin",0.054,"w",448
1935619,1907686,"La Paz","Bolivia",0.0146,"w",270
1820114,1784372,"Santa Cruz","Bolivia",0.02,"w",282
1400250,1368920,"Cochabamba","Bolivia",0.0229,"w",386
22619736,22429800,"Sao Paulo","Brazil",0.0085,"w",5
13727720,13634274,"Rio de Janeiro","Brazil",0.0069,"w",22
6247889,6194292,"Belo Horizonte","Brazil",0.0087,"w",62
4873048,4803877,"Brasilia","Brazil",0.0144,"w",86
4263940,4220458,"Recife","Brazil",0.0103,"w",102
4211933,4185488,"Porto Alegre","Brazil",0.0063,"w",103
4206240,4163953,"Fortaleza","Brazil",0.0102,"w",105
3958384,3920132,"Salvador","Brazil",0.0098,"w",114
3813082,3770919,"Curitiba","Brazil",0.0112,"w",127
3422796,3384564,"Campinas","Brazil",0.0113,"w",140
2848473,2800919,"Goiania","Brazil",0.017,"w",178
2409409,2385490,"Belem","Brazil",0.01,"w",211
2375636,2340784,"Manaus","Brazil",0.0149,"w",214
2170513,2141511,"Grande Vitoria","Brazil",0.0135,"w",237
1947785,1929846,"Baixada Santista","Brazil",0.0093,"w",269
1535316,1511614,"Natal","Brazil",0.0157,"w",349
1523629,1511102,"Grande Sao Luis","Brazil",0.0083,"w",353
1421827,1407889,"Joao Pessoa","Brazil",0.0099,"w",379
1363510,1350505,"Maceio","Brazil",0.0096,"w",401
1348521,1334194,"Joinville","Brazil",0.0107,"w",407
1294486,1277547,"Florianopolis","Brazil",0.0133,"w",428
1056986,1042445,"Aracaju","Brazil",0.0139,"w",551
1050459,1040971,"Teresina","Brazil",0.0091,"w",555
926095,916786,"Campo Grande","Brazil",0.0102,"w",639
922425,911014,"Londrina","Brazil",0.0125,"w",640
813320,804692,"Sorocaba","Brazil",0.0107,"w",719
1288114,1286789,"Sofia","Bulgaria",0.001,"w",434
3203923,3055788,"Ouagadougou","Burkina Faso",0.0485,"w",150
1128646,1074309,"Bobo-Dioulasso","Burkina Faso",0.0506,"w",505
1206767,1139265,"Bujumbura","Burundi",0.0593,"w",473
2281198,2211444,"Phnom Penh","Cambodia",0.0315,"w",227
4509287,4336670,"Yaounde","Cameroon",0.0398,"w",95
4063200,3926645,"Douala","Cameroon",0.0348,"w",111
6371958,6312974,"Toronto","Canada",0.0093,"w",60
4307958,4276526,"Montreal","Canada",0.0073,"w",101
2657088,2631690,"Vancouver","Canada",0.0097,"w",192
1639613,1611475,"Calgary","Canada",0.0175,"w",326
1544448,1518921,"Edmonton","Canada",0.0168,"w",347
1437188,1422635,"Ottawa","Canada",0.0102,"w",373
844249,837814,"Quebec City","Canada",0.0077,"w",693
841108,832944,"Winnipeg","Canada",0.0098,"w",695
781047,775751,"Hamilton","Canada",0.0068,"w",748
958335,933176,"Bangui","Central African Republic",0.027,"w",613
1592324,1532588,"N-Djamena","Chad",0.039,"w",334
6903392,6856939,"Santiago","Chile",0.0068,"w",57
1008599,1000467,"Valparaiso","Chile",0.0081,"w",575
911862,902142,"Concepcion","Chile",0.0108,"w",651
29210808,28516904,"Shanghai","China",0.0243,"w",3
21766214,21333332,"Beijing","China",0.0203,"w",8
17340704,16874740,"Chongqing","China",0.0276,"w",11
14284353,13964637,"Guangzhou","China",0.0229,"w",19
14238643,14011828,"Tianjin","China",0.0162,"w",20
13072633,12831330,"Shenzhen","China",0.0188,"w",24
9698464,9429381,"Nanjing","China",0.0285,"w",34
9653772,9478521,"Chengdu","China",0.0185,"w",35
8785174,8537646,"Xi-an Shaanxi","China",0.029,"w",42
8718250,8591611,"Wuhan","China",0.0147,"w",43
8237206,8044878,"Hangzhou","China",0.0239,"w",46
8074031,7764499,"Suzhou","China",0.0399,"w",47
7680967,7527975,"Shenyang","China",0.0203,"w",53
7597386,7497263,"Foshan","China",0.0134,"w",54
7587049,7511851,"Dongguan","China",0.01,"w",55
6803811,6665951,"Haerbin","China",0.0207,"w",58
6077995,5930140,"Dalian","China",0.0249,"w",65
5986525,5865232,"Qingdao","China",0.0207,"w",66
5859272,5690312,"Zhengzhou","China",0.0297,"w",67
5806031,5663015,"Ji-nan Shandong","China",0.0253,"w",68
4921487,4809887,"Changsha","China",0.0232,"w",84
4865038,4710203,"Urumqi","China",0.0329,"w",87
4761284,4657381,"Kunming","China",0.0223,"w",89
4710382,4616002,"Changchun","China",0.0204,"w",90
4615758,4496456,"Hefei","China",0.0265,"w",91
4573713,4490411,"Shantou","China",0.0186,"w",93
4537901,4405292,"Ningbo","China",0.0301,"w",94
4370473,4285135,"Shijiazhuang","China",0.0199,"w",98
4191890,4085697,"Nanning","China",0.026,"w",106
4145010,4061003,"Taiyuan Shanxi","China",0.0207,"w",107
3981658,3869213,"Changzhou","China",0.0291,"w",113
3935484,3862882,"Xiamen","China",0.0188,"w",116
3922202,3843753,"Fuzhou Fujian","China",0.0204,"w",118
3920379,3817888,"Nanchang","China",0.0268,"w",119
3919724,3824561,"Wenzhou","China",0.0249,"w",120
3814702,3693292,"Tangshan Hebei","China",0.0329,"w",126
3580904,3495855,"Guiyang","China",0.0243,"w",131
3437346,3375810,"Wuxi","China",0.0182,"w",138
3297528,3226493,"Lanzhou","China",0.022,"w",146
3010685,2973878,"Zhongshan","China",0.0124,"w",162
3005409,2917786,"Handan","China",0.03,"w",165
2979893,2879079,"Huaian","China",0.035,"w",168
2917819,2834645,"Weifang","China",0.0293,"w",172
2805654,2722257,"Shaoxing","China",0.0306,"w",181
2780142,2732104,"Zibo","China",0.0176,"w",183
2764584,2689227,"Yantai","China",0.028,"w",184
2758593,2684343,"Huizhou","China",0.0277,"w",186
2602793,2534195,"Luoyang","China",0.0271,"w",197
2492230,2423725,"Nantong","China",0.0283,"w",203
2380636,2312208,"Hohhot","China",0.0296,"w",212
2343452,2286224,"Liuzhou","China",0.025,"w",220
2334878,2287174,"Baotou","China",0.0209,"w",222
2287166,2240503,"Xuzhou","China",0.0208,"w",226
2176022,2093166,"Putian","China",0.0396,"w",236
2131291,2085864,"Yangzhou","China",0.0218,"w",241
2124797,2046187,"Wuhu Anhui","China",0.0384,"w",242
2107539,2064081,"Baoding","China",0.0211,"w",246
2102143,2048701,"Taizhou Zhejiang","China",0.0261,"w",248
2076364,2030847,"Linyi Shandong","China",0.0224,"w",250
2016092,1974244,"Haikou","China",0.0212,"w",254
2000656,1954752,"Daqing","China",0.0235,"w",255
1993463,1951122,"Yancheng Jiangsu","China",0.0217,"w",256
1986439,1933605,"Lianyungang","China",0.0273,"w",258
1889829,1847411,"Zhuhai","China",0.023,"w",274
1873693,1831912,"Datong","China",0.0228,"w",275
1869994,1814734,"Quanzhou","China",0.0305,"w",276
1788871,1732743,"Cixi","China",0.0324,"w",290
1768511,1740196,"Jiangmen","China",0.0163,"w",296
1742706,1713433,"Xiangyang","China",0.0171,"w",300
1716591,1672688,"Yinchuan","China",0.0262,"w",302
1711244,1660148,"Yichang","China",0.0308,"w",303
1689499,1667187,"Anshan","China",0.0134,"w",309
1680962,1634829,"Qinhuangdao","China",0.0282,"w",311
1668785,1645140,"Jilin","China",0.0144,"w",317
1666605,1625782,"Xining","China",0.0251,"w",318
1664968,1595867,"Suqian","China",0.0433,"w",319
1661854,1618900,"Hengyang","China",0.0265,"w",321
1642347,1585812,"Anyang","China",0.0357,"w",325
1635458,1609057,"Qiqihaer","China",0.0164,"w",327
1569560,1543534,"Jining Shandong","China",0.0169,"w",342
1536171,1502958,"Zhangjiakou","China",0.0221,"w",348
1512668,1486964,"Huainan","China",0.0173,"w",356
1496298,1472558,"Chaozhou","China",0.0161,"w",358
1483320,1436780,"Yiwu","China",0.0324,"w",360
1459678,1405736,"Ganzhou","China",0.0384,"w",365
1446810,1414649,"Taizhou Jiangsu","China",0.0227,"w",369
1429315,1389782,"Weihai","China",0.0284,"w",375
1424982,1373885,"Jiaxing","China",0.0372,"w",376
1416064,1390010,"Taian Shandong","China",0.0187,"w",381
1398262,1359105,"Kaifeng","China",0.0288,"w",387
1391258,1353165,"Rizhao","China",0.0282,"w",388
1379377,1346126,"Dongying","China",0.0247,"w",392
1378077,1322063,"Liuan","China",0.0424,"w",393
1377572,1339649,"Nanchong","China",0.0283,"w",394
1376453,1345424,"Zunyi","China",0.0231,"w",395
1373523,1310870,"Liuyang","China",0.0478,"w",396
1371998,1343882,"Zhanjiang","China",0.0209,"w",397
1354025,1318236,"Shiyan","China",0.0271,"w",404
1351383,1326012,"Mianyang Sichuan","China",0.0191,"w",405
1323174,1288451,"Yingkou","China",0.0269,"w",416
1322916,1281380,"Tengzhou","China",0.0324,"w",417
1310433,1266746,"Suzhou","China",0.0345,"w",421
1304565,1294781,"Fushun Liaoning","China",0.0076,"w",423
1303900,1272048,"Maoming","China",0.025,"w",424
1282479,1240240,"Jieyang","China",0.0341,"w",435
1281790,1246135,"Ruian","China",0.0286,"w",436
1261077,1230134,"Baoji","China",0.0252,"w",441
1257941,1215822,"Jinhua","China",0.0346,"w",442
1256581,1225598,"Pingdingshan Henan","China",0.0253,"w",444
1254519,1231664,"Zhuzhou","China",0.0186,"w",445
1254160,1223886,"Puning","China",0.0247,"w",447
1252414,1223975,"Chifeng","China",0.0232,"w",449
1250668,1225251,"Zhenjiang Jiangsu","China",0.0207,"w",451
1236271,1205931,"Huaibei","China",0.0252,"w",457
1230644,1183380,"Liupanshui","China",0.0399,"w",460
1224629,1197901,"Nanyang Henan","China",0.0223,"w",462
1223912,1197437,"Xiangtan Hunan","China",0.0221,"w",463
1216852,1196384,"Benxi","China",0.0171,"w",467
1215376,1191977,"Jinzhou","China",0.0196,"w",468
1207275,1162776,"Pizhou","China",0.0383,"w",472
1200222,1163766,"Binzhou","China",0.0313,"w",474
1197935,1149350,"Luohe","China",0.0423,"w",475
1196841,1175605,"Guilin","China",0.0181,"w",476
1183042,1117707,"Xiongan","China",0.0585,"w",481
1175989,1119608,"Bazhong","China",0.0504,"w",486
1169864,1135548,"Yueqing","China",0.0302,"w",491
1140599,1120346,"Xinxiang","China",0.0181,"w",500
1133629,1117176,"Zaozhuang","China",0.0147,"w",503
1131361,1101419,"Wenling","China",0.0272,"w",504
1120694,1093520,"Fuyang","China",0.0249,"w",509
1120675,1098267,"Panjin","China",0.0204,"w",510
1112680,1083048,"Ma'anshan","China",0.0274,"w",514
1106736,1081383,"Shangrao","China",0.0234,"w",516
1103202,1077519,"Zhaoqing","China",0.0238,"w",519
1100271,1065779,"Fuzhou Jiangxi","China",0.0324,"w",521
1089886,1072008,"Jingzhou Hubei","China",0.0167,"w",526
1087409,1055794,"Leshan","China",0.0299,"w",528
1084969,1046252,"Chenzhou","China",0.037,"w",531
1080680,1050796,"Dezhou","China",0.0284,"w",536
1078630,1029428,"Yichun Jiangxi","China",0.0478,"w",539
1067651,1042111,"Huzhou","China",0.0245,"w",546
1063876,1033680,"Xuchang","China",0.0292,"w",547
1059902,1022366,"Changshu","China",0.0367,"w",549
1048889,1034517,"Yueyang","China",0.0139,"w",557
1038964,1008582,"Qujing","China",0.0301,"w",559
1023756,996054,"Xintai","China",0.0278,"w",568
1020399,980589,"Guiping","China",0.0406,"w",570
999721,976771,"Pingxiang Jiangxi","China",0.0235,"w",581
993175,977845,"Jixi Heilongjiang","China",0.0157,"w",584
993097,958210,"Chengde","China",0.0364,"w",585
991208,960058,"Zhucheng","China",0.0324,"w",587
986248,961197,"Laiwu","China",0.0261,"w",592
982777,960233,"Jiujiang","China",0.0235,"w",595
978327,939173,"Leiyang","China",0.0417,"w",598
975348,958338,"Mudanjiang","China",0.0177,"w",599
967428,943042,"Guigang","China",0.0259,"w",604
956079,934600,"Yangjiang","China",0.023,"w",614
955663,924817,"Hengshui","China",0.0334,"w",615
955519,929015,"Zhangzhou","China",0.0285,"w",616
953768,927240,"Tianmen","China",0.0286,"w",619
952278,922665,"Xinyu","China",0.0321,"w",620
951822,922495,"Linfen","China",0.0318,"w",621
944465,929529,"Bengbu","China",0.0161,"w",627
939166,913268,"Deyang","China",0.0284,"w",633
936997,898864,"Liling","China",0.0424,"w",634
933395,905154,"Jiangyin","China",0.0312,"w",637
927532,894834,"Baishan","China",0.0365,"w",638
917936,903644,"Dandong","China",0.0158,"w",644
910743,889876,"Changzhi","China",0.0234,"w",652
900692,885256,"Liaoyang","China",0.0174,"w",661
898338,876395,"Changde","China",0.025,"w",662
895111,873125,"Shangqiu","China",0.0252,"w",666
886381,868161,"Xingtai","China",0.021,"w",672
876930,860580,"Huangshi","China",0.019,"w",673
876131,863008,"Fuxin","China",0.0152,"w",674
875496,840372,"Kuerle","China",0.0418,"w",675
871457,836448,"Quzhou","China",0.0419,"w",677
864910,848003,"Yibin","China",0.0199,"w",681
861978,839474,"Xinghua","China",0.0268,"w",682
860522,835771,"Yongzhou","China",0.0296,"w",683
857683,845243,"Luzhou","China",0.0147,"w",685
855191,836336,"Xinyang","China",0.0225,"w",687
851630,832913,"Yangquan","China",0.0225,"w",688
849580,828411,"Xiaogan","China",0.0256,"w",690
843754,815194,"Huaihua","China",0.035,"w",694
837479,814639,"Tianshui","China",0.028,"w",699
834782,816151,"Zhuji","China",0.0228,"w",701
830125,802749,"Bozhou","China",0.0341,"w",703
826777,815308,"Heze","China",0.0141,"w",705
826414,798818,"Kunshan","China",0.0345,"w",706
821192,808044,"Haicheng","China",0.0163,"w",709
821132,805739,"Huludao","China",0.0191,"w",710
818057,791806,"Jincheng","China",0.0332,"w",713
813369,796139,"Liaocheng","China",0.0216,"w",718
811451,791025,"Taixing","China",0.0258,"w",721
807833,786186,"Langfang","China",0.0275,"w",724
804537,777056,"Zhumadian","China",0.0354,"w",726
797964,772476,"Gaomi","China",0.033,"w",733
796756,773630,"Meishan","China",0.0299,"w",735
796509,785635,"Jiaozuo","China",0.0138,"w",736
795835,770665,"Hanchuan","China",0.0327,"w",738
791931,758275,"Anqiu","China",0.0444,"w",741
789755,767329,"Danyang","China",0.0292,"w",743
784230,775245,"Shaoguan","China",0.0116,"w",746
779535,762382,"Anqing","China",0.0225,"w",749
776076,754831,"Linhai","China",0.0281,"w",752
774321,752919,"Erduosi-Ordoss","China",0.0284,"w",755
768075,757011,"Zigong","China",0.0146,"w",760
767188,739777,"Yan'an","China",0.0371,"w",761
766782,755409,"Qingyuan","China",0.0151,"w",763
761169,745467,"Shaoyang","China",0.0211,"w",768
759150,732643,"Dengzhou","China",0.0362,"w",770
757224,737464,"Yanji","China",0.0268,"w",772
756158,738713,"Tongliao","China",0.0236,"w",773
754711,729924,"Yuncheng","China",0.034,"w",774
752916,734805,"Tongling","China",0.0246,"w",776
751679,733917,"Wuzhou","China",0.0242,"w",778
750102,723114,"Yuxi","China",0.0373,"w",780
750097,733643,"Suining Sichuan","China",0.0224,"w",781
11507960,11344312,"Bogota","Colombia",0.0144,"w",27
4102308,4067758,"Medellin","Colombia",0.0085,"w",109
2863730,2836747,"Cali","Colombia",0.0095,"w",176
2349400,2324690,"Barranquilla","Colombia",0.0106,"w",218
1381498,1365580,"Bucaramanga","Colombia",0.0117,"w",390
1087599,1079004,"Cartagena","Colombia",0.008,"w",527
963045,953378,"Cucuta","Colombia",0.0101,"w",607
1461989,1441324,"San Jose","Costa Rica",0.0143,"w",364
2148930,2145691,"Havana","Cuba",0.0015,"w",240
1323339,1318085,"Prague","Czech Republic",0.004,"w",415
1381005,1370131,"Copenhagen","Denmark",0.0079,"w",391
3523890,3457626,"Santo Domingo","Dominican Republic",0.0192,"w",133
16315534,15628085,"Kinshasa","DR Congo",0.044,"w",13
2891746,2765002,"Mbuji-Mayi","DR Congo",0.0458,"w",174
2811959,2695331,"Lubumbashi","DR Congo",0.0433,"w",180
1664442,1592924,"Kananga","DR Congo",0.0449,"w",320
1423395,1366342,"Kisangani","DR Congo",0.0418,"w",377
1248783,1190367,"Bukavu","DR Congo",0.0491,"w",452
1077108,1023575,"Tshikapa","DR Congo",0.0523,"w",541
812090,767645,"Bunia","DR Congo",0.0579,"w",720
3142466,3092355,"Guayaquil","Ecuador",0.0162,"w",155
1956995,1928296,"Quito","Ecuador",0.0149,"w",266
22183200,21750020,"Cairo","Egypt",0.0199,"w",7
5588477,5483605,"Alexandria","Egypt",0.0191,"w",72
778280,764116,"Bur Sa'id","Egypt",0.0185,"w",750
1116052,1110681,"San Salvador","El Salvador",0.0048,"w",513
1072666,1034872,"Asmara","Eritrea",0.0365,"w",543
5460591,5227794,"Addis Ababa","Ethiopia",0.0445,"w",75
1337786,1327762,"Helsinki","Finland",0.0075,"w",409
11208440,11142303,"Paris","France",0.0059,"w",29
1761188,1747575,"Lyon","France",0.0078,"w",297
1627549,1620227,"Marseille","France",0.0045,"w",328
1079120,1073395,"Lille","France",0.0053,"w",538
1060460,1049246,"Toulouse","France",0.0107,"w",548
1000475,990650,"Bordeaux","France",0.0099,"w",580
948149,945312,"Nice","France",0.003,"w",625
869773,856854,"Libreville","Gabon",0.0151,"w",679
1082245,1080349,"Tbilisi","Georgia",0.0018,"w",533
3573938,3570750,"Berlin","Germany",0.0009,"w",132
1787520,1788170,"Hamburg","Germany",-0.0004,"w",291
1576416,1566128,"Munich","Germany",0.0066,"w",339
1143715,1136992,"Cologne","Germany",0.0059,"w",499
796437,791232,"Frankfurt","Germany",0.0066,"w",737
3768239,3630326,"Kumasi","Ghana",0.038,"w",128
2660072,2605402,"Accra","Ghana",0.021,"w",191
1077929,1034917,"Sekondi Takoradi","Ghana",0.0416,"w",540
3154463,3153781,"Athens","Greece",0.0002,"w",154
814524,813793,"Thessaloniki","Greece",0.0009,"w",715
3095099,3036405,"Guatemala City","Guatemala",0.0193,"w",156
2110937,2048525,"Conakry","Guinea",0.0305,"w",245
2987455,2915276,"Port-au-Prince","Haiti",0.0248,"w",167
1568025,1526660,"Tegucigalpa","Honduras",0.0271,"w",343
982021,955649,"San Pedro Sula","Honduras",0.0276,"w",596
7684801,7643256,"Hong Kong","Hong Kong",0.0054,"w",51
1778052,1775207,"Budapest","Hungary",0.0016,"w",293
32941308,32065760,"Delhi","India",0.0273,"w",2
21296516,20961472,"Mumbai","India",0.016,"w",9
15332793,15133888,"Kolkata","India",0.0131,"w",17
13607800,13193035,"Bangalore","India",0.0314,"w",23
11776147,11503293,"Chennai","India",0.0237,"w",26
10801163,10534418,"Hyderabad","India",0.0253,"w",32
8650605,8450228,"Ahmedabad","India",0.0237,"w",44
8064949,7784276,"Surat","India",0.0361,"w",48
7166374,6987077,"Pune","India",0.0257,"w",56
4207084,4106756,"Jaipur","India",0.0244,"w",104
4088555,3920873,"Kozhikode","India",0.0428,"w",110
4009087,3816345,"Malappuram","India",0.0505,"w",112
3945409,3854224,"Lucknow","India",0.0237,"w",115
3482456,3351322,"Thrissur","India",0.0391,"w",135
3406055,3301294,"Kochi","India",0.0317,"w",141
3302077,3208722,"Indore","India",0.0291,"w",144
3234160,3189926,"Kanpur","India",0.0139,"w",148
3046687,2991427,"Nagpur","India",0.0185,"w",158
3009047,2934621,"Coimbatore","India",0.0254,"w",163
2891119,2793173,"Thiruvananthapuram","India",0.0351,"w",175
2579762,2529210,"Patna","India",0.02,"w",199
2564502,2505183,"Bhopal","India",0.0237,"w",200
2367554,2313971,"Agra","India",0.0232,"w",216
2346137,2286474,"Kannur","India",0.0261,"w",219
2330928,2277870,"Visakhapatnam","India",0.0233,"w",223
2324084,2277153,"Vadodara","India",0.0206,"w",224
2237369,2180269,"Nashik","India",0.0262,"w",230
2229765,2167516,"Vijayawada","India",0.0287,"w",232
2106606,2025984,"Kollam","India",0.0398,"w",247
2043107,1988607,"Rajkot","India",0.0274,"w",253
1951085,1916772,"Ludhiana","India",0.0179,"w",267
1834279,1798834,"Madurai","India",0.0197,"w",280
1816813,1760411,"Raipur","India",0.032,"w",284
1797805,1762162,"Meerut","India",0.0202,"w",287
1754425,1722259,"Varanasi","India",0.0187,"w",298
1698277,1659935,"Srinagar","India",0.0231,"w",305
1695060,1661439,"Jamshedpur","India",0.0202,"w",307
1683389,1641602,"Aurangabad","India",0.0255,"w",310
1677173,1619469,"Tiruppur","India",0.0356,"w",313
1586547,1548048,"Jodhpur","India",0.0249,"w",335
1547258,1510765,"Ranchi","India",0.0242,"w",346
1522121,1495679,"Jabalpur","India",0.0177,"w",354
